,cat1,cat2,name,資料範圍,繪製者（學號_姓名）,href,dep,date,type,複分類
TRUE,人身安全與司法,家庭暴力,家庭暴力加害人年齡統計,2005~2023,r12342002_劉亭君,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=ToMzjr88zezoO09!aGj13A%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年度別，年齡別，性別，縣市別
FALSE,人身安全與司法,性侵害,性侵害加害人處遇期間再犯累計人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=hUv8WCHcLHasn9Q3vxBApg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,性別，再犯案件別，年度別
FALSE,人身安全與司法,性侵害,性侵害通報件數案發地點統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=mUFoZaZMtWIlsw!v0OTKvA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，案發地點別
FALSE,人身安全與司法,性侵害,性侵害通報件數兩造關係統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=MQZTmSHUmk!S6zy0iQEyUQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，性侵害兩造關係關係別
FALSE,人身安全與司法,性騷擾,性騷擾案件申訴調查結果案發地點統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=jbhg09yKP!3WoFQTG46vTw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，性騷擾發生地點，成立/不成立別
FALSE,人身安全與司法,性騷擾,性騷擾事件裁罰加害人件數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=%24GT9ieCXdbvu3zHEA%24RJZQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，性別，性騷擾裁罰事由
FALSE,人身安全與司法,性騷擾,性騷擾事件裁罰機關、部隊、學校、機構、僱用人件數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=6iidwaVv3g7WKHl4LBJ3Mg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，性騷擾裁罰事由
FALSE,人身安全與司法,性騷擾,性騷擾案件業務統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=mz4Grk6i6BVIsQTXULy7CA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，成立/不成立別，性騷擾業務別
FALSE,人身安全與司法,性騷擾,性騷擾案件加害人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=B0A151vA8bAD2BIzjf5d6A%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,年齡別，教育程度別，年度別，職業別，性別，成立/不成立別，性騷擾業務別
TRUE,人身安全與司法,性騷擾,性騷擾案件被害人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=XiFRu!NOw7U11ne5!O!PrQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,年齡別，教育程度別，年度別，職業別，性別，成立/不成立別，性騷擾業務別
TRUE,人身安全與司法,人身安全,男性關懷專線接線人次統計,,61188029i_周子恩,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=CxUg%24gT!kholqYh4WMWfCQ%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，縣市別，年齡別，婦女福利服務類型
TRUE,人身安全與司法,性侵害,性侵害事件通報被害人職業統計,2005-2020,41102025E_羅卉昀,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_Query.aspx?sn=Bjz1B1Ni2Qkt1Y18F3wPOQ%40%40&statsn=fgpq!QPLMgpdgsdmy1UobQ%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，縣市別，性別，職業別
FALSE,人身安全與司法,性侵害,性侵害事件通報被害人教育程度統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=qYyu41UiX9X!2pc4nISgKw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,教育程度別，年度別，性別，縣市別
TRUE,人身安全與司法,性侵害,性侵害事件通報被害人籍別統計,2005-2023,R13342006_林婕宇,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=FA%24cpuq6pb%24jb%24HwzoUPNg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，國籍別，性別，縣市別
TRUE,人身安全與司法,性剝削、人口販運,安置兒童及少年性剝削被害人,2017-2023,B10310006_許采蘋,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=m2CMJLY1IhdfPWPTcep9SQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，性別，安置兒少性剝削被害人，縣市別
FALSE,人身安全與司法,性侵害,性侵害事件通報加害人統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=PnWX8jmin514euXIpl4!dw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,年齡別，年度別，性別，縣市別
FALSE,人身安全與司法,性侵害,性侵害加害人個案處分人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=RcNfyn80nVUKnX4B5njPOg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,性別，加害人處分別，年度別
FALSE,人身安全與司法,性侵害,性侵害加害人實施身心治療或輔導教育人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=3!gqtggxJ2ByWIG0RfhE1A%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,性別，年度別，加害人處遇狀態別
FALSE,人身安全與司法,性侵害,性侵害加害人應接受身心治療或輔導教育累計個案人數處遇期程統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=oEv8mpGtLUOj%24Oq6XTT1uw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,性別，年度別，加害人處遇期程別
FALSE,人身安全與司法,性侵害,性侵害事件裁罰件數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=Dz16AnuyeYPNcNpYR%24xtVg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-20,互動式查詢,性別，性侵害裁罰事由，年度別
FALSE,人身安全與司法,家庭暴力,家庭暴力事件通報件次通報單位統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=NgWbnNTCFhr18krUm7HlFA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，通報單位別，縣市別
TRUE,人身安全與司法,家庭暴力,家庭暴力事件通報案件類型件數統計,2005-2022,R12342019 黃郁淳,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=cTThlBNp7GY6HOPQ69lylA%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，縣市別，案件類型別
FALSE,人身安全與司法,性侵害,性侵害被害人保護扶助人次統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=g7J%24!g7LN2iG4VD%24z!Zn2g%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，國籍別，被害人保護扶助別，性別
FALSE,人身安全與司法,性侵害,性侵害被害人保護扶助金額統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=KlotpZhTDcz0NDRZmWURqw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，國籍別，被害人經濟扶助別
FALSE,人身安全與司法,家庭暴力,家庭暴力加害人處遇統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=sFucem1kk%24rKUpsNaiXhmg%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，性別，加害人處遇來源別
FALSE,人身安全與司法,家庭暴力,法院裁定家庭暴力加害人處遇計畫項目人次統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=%24hh%24bda!FREIDtjpBjF58A%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，性別，加害人處遇別，加害人處遇來源別
FALSE,人身安全與司法,家庭暴力,家庭暴力處遇執行人次統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=Pb%24t396wMRvigneOSMiQPg%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,衛生福利部,2022-03-07,互動式查詢,年度別，性別，加害人處遇來源別，加害人處遇別
FALSE,人身安全與司法,家庭暴力,家庭暴力事件通報被害人身心障礙別統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=KRTBBErXDuLQxzY9EpLj6g%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2022-01-19,互動式查詢,年度別，障礙類別，性別，縣市別
FALSE,人身安全與司法,性騷擾,性別工作平等申訴案件統計 *,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=zCbqU5ueFzlSWDLnDpN5UQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,勞動部,2022-04-23,統計表檢視,年度別，縣市別，申訴類別
FALSE,人身安全與司法,人身安全,全般刑案被害人統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=hQMx01NuTtWl!l30nGeeog%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,內政部警政署,2022-05-05,統計表檢視,年齡別，年度別，犯罪類別，職業別，縣市機關別
FALSE,人身安全與司法,人身安全,全般刑案被害人死傷統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=rSsrVqb7Q%241wCFB1%240wKfA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,內政部警政署,2022-05-05,統計表檢視,年度別，案類別，性別，死傷別
FALSE,人身安全與司法,性剝削、人口販運,兒少性交易案件查獲人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=L%24rtg%24%24eCX7d9nSYSR%24okQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,內政部警政署,2022-05-05,統計表檢視,年度別，性別，縣市別
FALSE,人身安全與司法,服務人力,現有警察人數性別統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=BQiuK9T6Xp3ntef6m7W!yA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,內政部警政署,2022-04-07,統計表檢視,性別，年度別
FALSE,人身安全與司法,人身安全,守望相助隊數及人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=bq2RAhas632%24QIzqNlPUfw%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,內政部警政署,2022-02-07,統計表檢視,年度別，縣市別，巡守隊別
TRUE,人身安全與司法,人身安全,失蹤人口統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=CKXv%24OPedsD%24Cyqiot6zsQ%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,內政部警政署,2022-02-07,統計表檢視,年齡別，年度別，縣市別，性別
FALSE,人身安全與司法,人身安全,全般刑案發生數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=A2BXW0XPQvsfoWv5hAA!5g%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,內政部警政署,2021-04-07,統計表檢視,年度別，機關別，犯罪類別，破獲率，破獲數，發生數
FALSE,人身安全與司法,性剝削、人口販運,安置跨國境被害人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=WHm9xnwtZZO0GyiIPje7eQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,內政部移民署,2022-06-06,統計表檢視,年度別，國籍別，性別，剝削類型
FALSE,人身安全與司法,性剝削、人口販運,各司法警察機關查緝人口販運案件統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=sxS0zYNM1N7WG1ozJJUc0g%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,內政部移民署,2022-05-25,統計表檢視,年度別，剝削類型，查獲機關別
FALSE,人身安全與司法,性剝削、人口販運,防制人口販運專業知能訓練人次統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=RyHbRPsosRUgMS6Jxjt5Gg%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,內政部移民署,2022-03-09,統計表檢視,年度別，參與對象別
FALSE,人身安全與司法,家庭暴力,地方法院違反家庭暴力防治法案件裁判結果統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=m%24tVQ5Rtr!kVPImtyWSaUg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,司法院,2022-04-25,統計表檢視,年度別，科刑別，性別，保安處分別，罪名別
FALSE,人身安全與司法,家庭暴力,地方法院民事保護令聲請事件收結情形統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=HTNhFkjq7pOBrjyN9kiBuA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,司法院,2022-03-31,統計表檢視,年度別，終結情形別，案件聲請人別，當事人性別，事件別
FALSE,人身安全與司法,人身安全,地方法院刑事第一審案件裁判結果統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=g%24VGeu8mPSZzrwrqIJNiDQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,司法院,2022-03-31,統計表檢視,年度別，科刑別，性別
